$ python3 model-range_size_btc.py
Amplification: 100
0.00999 0.08623090272628388 0.0908066359455052
0.019989999999999997 0.07744874713609218 0.08671619477530845
0.02999 0.061913627710890554 0.07608730895245075
0.03998999999999999 0.05628484006536096 0.07534694238872819
0.04998999999999999 0.057888287134734095 0.08173825556825898
0.05998999999999999 0.058039938118983184 0.0867309785305661
0.06999 0.055535232050607806 0.08918626537483565
0.07998999999999999 0.051526920550124714 0.09025163706788497
0.08998999999999999 0.04828988644081365 0.09212142598821815
0.09998999999999998 0.04412129327334967 0.09316879805716216
0.10998999999999998 0.04040078252117081 0.09471082294544964
0.11998999999999999 0.037380168017363234 0.09697742310364388
0.12998999999999997 0.03484899322793637 0.09976189789907242
0.13998999999999998 0.030836192157674497 0.1012292332769722
0.14998999999999998 0.029164023476733393 0.10492819028860312
